categorie,latitude,longitude,ville,nom,photo
Monument,6.18275,48.694306,Nancy,Arc Héré,14f03df7-dda8-4d1e-aef2-5698944f9c02
Monument,6.1803072,48.6965855,Nancy,Nancy Saint-Epvre,99cd0d76-14b7-41b4-8f6d-0b38fbde5712
Monument,6.1855486,48.6918687,Nancy,Cathédrale Notre-Dame-de-l'Annonciation,489dfb46-9464-4f17-9a49-8e77bc730983
Monument,6.1675878,48.686626,Nancy,Commanderie Saint-Jean-du-Vieil-Aître,94bab414-f9e2-431e-87ae-881afb857afc
Monument,6.1793714,48.679947,Nancy,Établissement d'Émile Gallé,67ddd7a9-97e3-47a3-94c8-ceaed134f35c
Monument,6.1779966,48.6986534,Nancy,Porte de la Craffe,5bea344a-280a-45bc-9840-c463b33d5b90
Monument,6.1834332,48.6933232,Nancy,Place Stanislas,5545091e-8d26-4bfa-b131-aa53c7fb67c9
Monument,6.178198,48.6898844,Nancy,Temple protestant de Nancy,c4832c24-9698-43dc-8e50-d15a45ee1336
Monument,6.178285,48.6893755,Nancy,Banque Charles Renauld,59631fa0-a309-4f18-acb4-b1ec2bfbc4a5
Monument,6.1772529,48.6896,Nancy,Banque SNVB,22358cd8-e79a-49e9-bad5-6ee35a1889a9
ecole,6.161971,48.6832288,Nancy,IUT Nancy-Charlemagne,fc063e1f-d35c-430a-b868-e9b2b4745b42
ecole,6.1517384,48.660013,Nancy,Iut Nancy-Brabois,e9b09631-5310-43de-a7d2-1bb91984e9d6
ecole,6.1885486,48.6598459,Nancy,Polytech Nancy,4dc52e53-4c63-49ff-863f-256ed6e2c056
ecole,6.1589926,48.6669704,Nancy,Faculté des Sciences et Technologies Nancy,5cc505d6-3e7f-4b2e-93ee-2eee2447ff71
ecole,6.1718599,48.6975363,Nancy,IAE Nancy école Universitaire de management,25a30137-d1a0-4856-9b31-d002c7e50e60
ecole,6.1769844,48.692992,Nancy,Faculte de Droit sciences economiques et gestion,52892347-a74a-46c7-a0a3-2219a30e4fdc
ecole,6.1766223,48.6934953,Nancy,centre européen universitaire,fa675599-f786-4306-9bd6-664137ffb922
ecole,6.1427061,48.6510349,Nancy,faculté d'odontologie,83b05c46-5321-4e34-905c-31060b5b3160
ecole,6.1936218,48.6957736,Nancy,Ecole Européenne d'Ingénieurs en Génie des Matériaux,742dbc3a-63f2-4c39-b89c-b7f894291b58
ecole,6.1721733,48.6971154,Nancy,Institut Européen du Cinéma et de l'Audiovisuel,0c8b2c7c-e955-4cdf-a02e-57d276d4fa3c
Fast food,6.1854075,48.6896406,Nancy,foodies burger,122bc606-115b-4e86-b1d8-d33cf2ba29d6
Fast food,6.1837812,48.6900766,Nancy,Voyou Delivery,72337474-2a73-47d8-8ddd-5a5bf69fbfd0
Fast food,6.1728704,48.6903745,Nancy,Rice and Curry,2b276d9b-e80e-467e-9135-005b9405d577
Fast food,6.1711804,48.6740372,Nancy,Bonidé,efa297e9-21cd-4563-9b77-922eeeea0621
Fast food,6.1840356,48.6886593,Nancy,Green Kebab,8f3a9b81-bc84-4b25-9a51-7f7eacbff11a
Fast food,6.1843143,48.6904101,Nancy,Asia Wok,a8e9d0c6-11c2-4f43-a9fd-57323c12269b
Fast food,6.1761438,48.6893167,Nancy,Burger Kebab,050431d1-b685-47b6-bc86-28e24c787b49
Fast food,6.1815256,48.6893391,Nancy,Pokawa,c0cdf2c4-24ce-4362-af79-211145aa4aea
Fast food,6.1792033,48.6966367,Nancy,made in france,2ede127a-52f9-49e9-b405-82609c6b7f2a
Fast food,6.1830834,48.6898507,Nancy,Five Guys,a33dee66-aced-429d-bd22-c4367ce2edee
Magasin,6.1814435,48.6888106,Nancy,Saint Sébastien,2c1a6434-f0a1-45c3-82e1-0aab4d96ad10
Magasin,6.2207768,48.6855104,Nancy,Auchan Hypermarché,e56e9582-d66b-46ac-95d0-779145727ada
Magasin,6.1761183,48.6613595,Nancy,centre commerciale les nations,5d186183-5096-40f0-8679-ab82696188ca
Magasin,6.1763422,48.6894079,Nancy,Printemps Nancy,a6f4983b-2eb2-42fd-8513-0cfa55952187
Magasin,6.1839106,48.6901134,Nancy,La Caverne du Gobelin,a6313630-0671-42be-8782-bf5e41555cb0
Magasin,6.1828913,48.6909836,Nancy,The LEGO® Certified Store,2fb281df-3080-4197-87b0-d27902df3a36
Magasin,6.1841596,48.6884899,Nancy,Le comptoir Irlandais,76f9072d-40b4-43a2-9e24-068f25581fd3
Magasin,6.1816782,48.6899451,Nancy,À l'Ombre des Marques,87d3ec91-82a4-4503-b4cd-21ee8585d213
Magasin,6.1802466,48.69012,Nancy,Snipes,fc75649c-f1cc-472d-a92a-3caef25d7853
Magasin,6.1805757,48.6933388,Nancy,Jass,3c236859-6b54-4002-b397-821925d7fc8a
Parc,6.1896376,48.6947803,Nancy,Jardin Dominique Alexandre Godron,4fd0b67a-8cfb-4949-be8c-f6284bd028f4
Parc,6.1851428,48.6979955,Nancy,Parc de la Pépinière,574c9d08-7956-4838-9633-adc7088c601b
Parc,6.170953,48.6815382,Nancy,Parc Sainte-Marie de Nancy,6da593d3-8a2d-4c69-b396-92415fafe9ab
Parc,6.189867,48.6890104,Nancy,Parc Charles III,95430208-1b1a-49a4-9b6c-316972d5a8f5
Parc,6.1938402,48.6936363,Nancy,Jardin d'eau,8ff1309b-db1a-423a-b141-8587a1fc8a8f
Parc,6.154209,48.6908079,Nancy,Jardin du Belvédère,c4fe7a4b-a220-4b4f-8ca6-9b24c642c484
Parc,6.1742817,48.6684332,Nancy,Domaine et Château du Charmois,922be24e-e697-4dd7-a3fb-a2c07a8daa07
Parc,6.183001,48.6984113,Nancy,La Roseraie,d1c42a28-7f10-4f0c-875d-e79d6b9c9cac
